# Lon        | Lat          | Moho Depth   | X   | Station    | Min Err      | Mean Err     | Variance     | Score 
-1.538798e+02  +6.247870e+01  +3.445802e+01  0082     TA-L20K-  +6.636684e-01  +2.814766e+00  +3.692954e+00  +2.100000e+00
-1.536446e+02  +5.892870e+01  +2.874046e+01  0008     TA-Q19K-  +2.346257e-02  +5.153695e+00  +3.991211e+00  +2.100000e+00
-1.535058e+02  +6.651560e+01  +4.003817e+01  0038     TA-G21K-  +9.620471e-02  -2.869159e+00  +3.576641e+00  +2.100000e+00
-1.534830e+02  +6.722210e+01  +4.309160e+01  0045     TA-F21K-  +4.008024e-03  -2.210159e+00  +5.063591e+00  +1.100000e+00
-1.534447e+02  +5.936260e+01  +2.993575e+01  0009     AV-AUCH-  +2.624506e-02  +1.979188e+00  +4.768566e+00  +1.100000e+00
-1.534227e+02  +5.933950e+01  +2.070678e+01  0024     AV-AUJA-  +5.097194e+00  +1.227424e+01  +4.721043e+00  +1.000000e-01
-1.534196e+02  +7.034000e+01  +2.767176e+01  0001     TA-B22K-  +6.881688e+00  +1.245444e+01  +4.842329e+00  +1.000000e-01
-1.533573e+02  +5.933702e+01  +2.316005e+01  0013     AV-AU22-  +2.306197e+00  +9.587896e+00  +4.798280e+00  +1.000000e-01
-1.532875e+02  +5.722250e+01  +3.542640e+01  0204     AT-OHAK-  +9.362082e-02  +3.041298e+00  +4.468300e+00  +1.100000e+00
-1.532319e+02  +5.965240e+01  +2.812977e+01  0012     TA-P19K-  +1.244698e-01  +5.478779e+00  +3.949579e+00  +2.100000e+00
-1.531318e+02  +6.188230e+01  +3.896947e+01  0047     TA-M20K-  +4.857037e-01  -2.756113e+00  +3.519887e+00  +2.100000e+00
-1.529293e+02  +6.056210e+01  +4.196846e+01  0010    AV-NCT-00  +1.599816e+00  -4.624010e+00  +3.427458e+00  +2.100000e+00
-1.528425e+02  +6.048750e+01  +4.185164e+01  0010     AV-RDWB-  +1.761177e+00  -4.515483e+00  +3.439289e+00  +2.100000e+00
-1.528058e+02  +6.059050e+01  +4.115070e+01  0068     AV-RDJH-  +4.696572e-01  -3.584249e+00  +3.463017e+00  +2.100000e+00
-1.528050e+02  +6.565710e+01  +3.393130e+01  0052     TA-H21K-  +9.105131e-03  +8.523476e-01  +3.263224e+00  +2.100000e+00
-1.527742e+02  +6.041960e+01  +3.893107e+01  0023    AV-RED-00  +2.161179e-04  -1.477866e+00  +3.478059e+00  +2.100000e+00
-1.527430e+02  +6.045360e+01  +4.009930e+01  0010     AV-RDSO-  +1.305765e-02  -2.592996e+00  +3.479926e+00  +2.100000e+00
-1.526883e+02  +6.059120e+01  +3.507594e+01  0021     AV-RDDF-  +4.773405e-01  +3.059774e+00  +3.601627e+00  +2.100000e+00
-1.526821e+02  +6.887990e+01  +5.118321e+01  0028     TA-D22K-  +2.674297e-01  -6.834861e+00  +5.539308e+00  +1.100000e+00
-1.526240e+02  +6.008150e+01  +3.636098e+01  0020     TA-O20K-  +9.673380e-05  -3.926843e-01  +3.592396e+00  +2.100000e+00
-1.525835e+02  +5.778280e+01  +4.009930e+01  0418   II-KDAK-10  +6.955811e-03  -6.566510e-01  +4.957261e+00  +1.100000e+00
-1.523942e+02  +5.860970e+01  +5.545802e+01  0026     TA-Q20K-  +1.886032e+01  -2.187150e+01  +3.677459e+00  +1.000000e-01
-1.523722e+02  +6.125910e+01  +2.444509e+01  0078     AV-SPBG-  +1.219498e+01  +1.382923e+01  +3.500181e+00  +1.000000e-01
-1.523172e+02  +6.388220e+01  +2.970210e+01  0147     AK-CHUM-  +1.413951e+00  +4.578271e+00  +4.000829e+00  +2.100000e+00
-1.522091e+02  +6.120030e+01  +3.974883e+01  0048     AV-SPCR-  +1.168716e-01  -2.933759e+00  +3.417929e+00  +2.100000e+00
-1.522089e+02  +6.120010e+01  +4.339695e+01  0039     TA-N20K-  +3.977022e+00  -6.996547e+00  +3.471963e+00  +1.100000e+00
-1.521894e+02  +6.289620e+01  +4.500584e+01  0250     AK-PPLA-  +7.777165e+00  -1.006226e+01  +3.260377e+00  +1.100000e+00
-1.521790e+02  +6.750760e+01  +4.996183e+01  0035     TA-F22K-  +4.464490e+00  -8.697413e+00  +4.900545e+00  +1.000000e-01
