gid,latitude,longitude,cgeoth_grad,cgeoth_grad_sym,cgeoth_grad_std_err,heat_flow,heat_flow_sym,heat_flow_std_err,cheat_flow,cheat_flow_sym,cheat_flow_std_err,quality_code
NV-04383,39.3496064,-118.5829695,,,,871.416,,,,,,G
NV-04387,40.0487936,-118.8449866,,,,155.61,,,,,,G
NV-04388,39.9882262,-119.030991,,,,203.84,,,,,,G
NV-04391,40.5333974,-117.5884582,,,,163,,,,,,G
NV-04393,40.4255921,-118.3949795,,,,153.972,,,,,,G
NV-04394,39.9615981,-118.4669748,,,,157.248,,,,,,G
NV-04397,40.5325975,-117.581458,,,,251,,,,,,G
NV-04402,40.2954905,-118.7979889,,,,234.416,,,,,,G
NV-04403,40.0043934,-118.9459888,,,,158.34,,,,,,G
NV-04411,40.5473973,-117.5852583,,,,126,,,,,,G
NV-04412,39.863227,-119.1609928,,,,169.442,,,,,,G
NV-04429,40.5365975,-117.5746579,,,,293,,,,,,G
NV-04430,40.4687898,-118.603986,,,,238.602,,,,,,G
NV-04433,41.3740677,-119.7985334,,,,,,,,,,G
NV-04443,41.3965674,-119.7985337,,,,,,,,,,G
NV-04448,40.1040928,-118.8509876,,,,136.5,,,,,,G
NV-04452,40.2215574,-118.887657,,,,176.358,,,,,,G
NV-04454,40.233223,-119.0009937,,,,152.152,,,,,,G
NV-04455,40.2603902,-118.8859909,,,,121.394,,,,,,G
NV-04456,40.3562904,-118.7089873,,,,221.13,,,,,,G
NV-04467,40.0315589,-119.0393251,,,,124.488,,,,,,G
NV-04476,41.3823677,-119.7860332,,,,128.8,,,,,,G
NV-04480,40.1396933,-118.7319848,,,,147.42,,,,,,G
NV-04484,40.0022957,-118.6789813,,,,152.88,,,,,,G
NV-04488,40.5482452,-115.7792398,,,,122.304,,,,,,G
NV-04493,39.4049048,-118.6726394,,,,155.4,,,,,,G
NV-04494,39.3799053,-118.6643055,,,,331.24,,,,,,G
NV-04501,39.3715703,-118.8726445,,,,137.62,,,,,,G
NV-04502,39.3699033,-118.9143123,,,,122.36,,,,,,G
NV-04507,40.0198925,-119.0209911,,,,183.274,,,,,,G
NV-04508,40.0232258,-119.0226579,,,,183.274,,,,,,G
NV-04521,39.9748931,-119.0309908,,,,175.812,,,,,,G
NV-04523,39.5795948,-119.5249987,,,,363.09,,,,,,G
NV-04526,39.5665616,-119.5376655,,,,1279.46,,,,,,G
NV-04528,39.5665615,-119.5493325,,,,204.022,,,,,,G
NV-04534,39.5536949,-119.5639994,,,,0,,,,,,G
NV-04539,39.8997099,-117.1426367,,,,292.88,,,,,,G
NV-04544,39.6499002,-118.7659788,,,,407.68,,,,,,G
NV-04548,39.7785963,-119.0002871,,,,1305.26,,,,,,G
NV-04549,40.4450989,-117.5601561,,,,,,,,,,G
NV-04558,40.2655947,-118.3586762,,,,0,,,,,,G
NV-04558,40.2655947,-118.3586762,,,,1199,,,,,,G
NV-04559,40.2235951,-118.3766761,,,,149.38,,,,,,G
NV-04562,39.7564247,-115.5228887,,,,188.4,,,,,,G
NV-04562,39.7564247,-115.5228887,,,,131.1,,,,,,G
NV-04564,39.7551248,-115.5128884,,,,277.5,,,,,,G
NV-04570,39.7437249,-115.5268886,,,,,,,,,,G
NV-04572,39.4298958,-119.6826676,,,,179.816,,,,,,G
NV-04575,39.7566248,-115.5118883,,,,152.88,,,,,,G
NV-04583,40.5614052,-116.5904301,,,,1569.4,,,,,,G
NV-04584,40.5616053,-116.5856299,,,,2784.6,,,,,,G
NV-04588,38.7782442,-119.1709778,,,,282.828,,,,,,G
NV-04590,38.7665781,-119.1293098,,,,122.304,,,,,,G
NM-00334,34.1117864,-106.9405882,47,,0.3,80.37,,,76,,,B
NV-04595,38.7515779,-119.1776443,,,,463.736,,,,,,G
NV-04602,38.793244,-119.170978,,,,468.832,,,,,,G
NV-04604,38.7965773,-119.1626445,,,,152.88,,,,,,G
NV-04606,38.8099104,-119.1693115,,,,196.196,,,,,,G
NV-04608,38.7515779,-119.1859779,,,,127.4,,,,,,G
NV-04611,38.7599114,-119.1493103,,,,252.252,,,,,,G
NV-04614,38.8165767,-119.1909789,,,,555.464,,,,,,G
NV-04615,37.6166685,-114.3681302,,,,,,,,,,G
NV-04621,39.7647241,-115.5838905,,,,137.62,,,,,,G
NV-04627,39.7541244,-115.5658899,,,,243.675,,,,,,G
NV-04630,38.389921,-118.7626281,,,,,,,,,,G
NV-04631,38.3915876,-118.7642949,,,,,,,,,,G
NV-04634,40.8246968,-117.2084515,,,,125.3616,,,,,,G
NV-04636,39.5389036,-118.5641716,,,,0,,,,,,G
NV-04636,39.5389036,-118.5641716,,,,47.96,,,,,,G
NV-04639,40.0586007,-117.9905629,,,,783.51,,,,,,G
NV-04641,40.1061003,-117.9508624,,,,134.68,,,,,,G
NV-04647,39.7601042,-118.0892615,,,,1258.74,,,,,,G
NV-04652,39.9532533,-117.8615578,,,,123,,,,,,G
NV-04655,39.783104,-118.0729613,,,,1356,,,,,,G
NV-04657,39.8459035,-118.0186607,,,,,,,,,,G
NV-04660,39.8614034,-118.0101606,,,,308,,,,,,G
NV-04660,39.8614034,-118.0101606,,,,205.8,,,,,,G
NV-04660,39.8614034,-118.0101606,,,,114.8,,,,,,G
NV-04666,39.4931077,-118.1629598,,,,184.275,,,,,,G
NV-04671,39.9959029,-117.8327575,,,,280,,,,,,G
NV-04675,39.9778503,-117.856445,,,,301,,,,,,G
NV-04677,39.9916028,-117.8442578,,,,197.775,,,,,,G
NV-04679,39.8499059,-117.7231524,,,,148.4,,,,,,G
NV-04680,39.775204,-118.0886616,,,,280,,,,,,G
NV-04680,39.775204,-118.0886616,,,,67.2,,,,,,G
NV-04682,39.8614033,-118.0124607,,,,308,,,,,,G
NV-04687,39.951603,-117.8947587,,,,313,,,,,,G
NV-04688,39.952603,-117.8892585,,,,174,,,,,,G
NV-04690,39.9535029,-117.9001588,,,,700,,,,,,G
NV-04705,39.417608,-118.2577614,,,,374.649,,,,,,G
NV-04710,39.3966086,-118.2297604,,,,199.392,,,,,,G
NV-04715,39.3949084,-118.253161,,,,223.3088,,,,,,G
NV-04717,39.3757088,-118.2472606,,,,148.8452,,,,,,G
NV-04719,39.3987087,-118.2187601,,,,158.7537,,,,,,G
NV-04720,39.4041086,-118.2182601,,,,134.86,,,,,,G
NV-04721,39.4247081,-118.2419611,,,,659.906,,,,,,G
NV-04722,39.417608,-118.2577614,,,,399.5744,,,,,,G
NV-04722,39.417608,-118.2577614,,,,67.031,,,,,,G
NV-04724,39.4149082,-118.245761,,,,647.28,,,,,,G
NV-04725,39.4151082,-118.242461,,,,364.4106,,,,,,
NV-04725,39.4151082,-118.242461,,,,529.93,,,,,,G
NV-04730,39.5451072,-118.1166592,,,,317.73,,,,,,G
NV-04730,39.5451072,-118.1166592,,,,26.88,,,,,,G
NV-04731,39.5468073,-118.1043589,,,,0,,,,,,G
NV-04731,39.5468073,-118.1043589,,,,64.521,,,,,,G
NV-04734,39.540307,-118.1528602,,,,66.93,,,,,,G
NV-04734,39.540307,-118.1528602,,,,1.173,,,,,,G
NV-04734,39.540307,-118.1528602,,,,623.53,,,,,,G
NV-04735,39.5322072,-118.1394597,,,,128.04,,,,,,G
NV-04735,39.5322072,-118.1394597,,,,1069.2,,,,,,G
NV-04736,39.5223074,-118.1444597,,,,1161.16,,,,,,G
NV-04736,39.5223074,-118.1444597,,,,34.5,,,,,,G
NV-04737,39.5265072,-118.1547601,,,,0,,,,,,G
NV-04737,39.5265072,-118.1547601,,,,769.078,,,,,,G
NV-04739,39.5239071,-118.1666603,,,,213.44,,,,,,G
NV-04740,39.5126074,-118.15806,,,,462.42,,,,,,G
NV-04740,39.5126074,-118.15806,,,,791.07,,,,,,G
NV-04751,39.4886079,-118.1457593,,,,944.28,,,,,,G
NV-04754,39.5076074,-118.16246,,,,334.9548,,,,,,G
NV-04754,39.5076074,-118.16246,,,,349,,,,,,G
NV-04754,39.5076074,-118.16246,,,,0,,,,,,G
NV-04754,39.5076074,-118.16246,,,,140.8,,,,,,G
NV-04755,39.5059075,-118.1570598,,,,0,,,,,,G
NV-04755,39.5059075,-118.1570598,,,,387.4,,,,,,G
NV-04755,39.5059075,-118.1570598,,,,0,,,,,,G
NV-04755,39.5059075,-118.1570598,,,,407.4,,,,,,G
NV-04755,39.5059075,-118.1570598,,,,130,,,,,,G
NV-04757,39.5239071,-118.1666603,,,,56.9,,,,,,G
NV-04757,39.5239071,-118.1666603,,,,109.2,,,,,,G
NV-04757,39.5239071,-118.1666603,,,,140.6,,,,,,G
NV-04763,37.3499575,-116.5675884,,,,63,*,,63,,,X
NV-04765,39.3269066,-118.6049698,,,,623.4,,,,,,
NV-04765,39.3269066,-118.6049698,,,,238.5,,,,,,
NV-04767,39.2959076,-118.5369675,,,,163.2,,,,,,
NV-04768,39.3069071,-118.5769687,,,,3213.3,,,,,,
NV-04775,39.3049073,-118.5589682,,,,326.4,,,,,,
NV-04775,39.3049073,-118.5589682,,,,527.2,,,,,,
NV-04778,39.3289074,-118.5009669,,,,87.9,,,,,,
NV-04778,39.3289074,-118.5009669,,,,58.6,,,,,,
NV-04779,39.363906,-118.6009702,,,,87.9,,,,,,
NV-04781,39.3659063,-118.5649692,,,,121.3,BAS,,,,,
NV-04781,39.3659063,-118.5649692,,,,121.3,BAS,,,,,
NV-04781,39.3659063,-118.5649692,,,,1012.5,,,,,,
NV-04783,39.3869062,-118.5409689,,,,125.5,,,,,,
NV-04785,39.4319057,-118.5189689,,,,121.3,,,,,,
NV-04785,39.4319057,-118.5189689,,,,167.4,,,,,,
NV-04787,39.2929074,-118.5719684,,,,962.3,,,,,,
NV-04787,39.2929074,-118.5719684,,,,3221.7,,,,,,
NV-04790,39.2929073,-118.5889689,,,,1974.8,,,,,,
NV-04791,39.2589075,-118.6229694,,,,87.9,,,,,,
NV-04791,39.2589075,-118.6229694,,,,66.9,,,,,,
NV-04792,39.3159068,-118.6049696,,,,142.3,,,,,,
NV-04792,39.3159068,-118.6049696,,,,234.3,,,,,,
NV-04794,39.2969072,-118.5829688,,,,1481.1,,,,,,
NV-04794,39.2969072,-118.5829688,,,,2694.5,,,,,,
NV-04798,39.2739083,-118.494966,,,,96.2,,,,,,
NV-04809,39.3509064,-118.5829695,,,,4313.7,,,,,,
NV-04813,39.6696073,-117.8841545,,,,2.09,,,,,,
NV-04820,39.6449067,-118.0011574,,,,57.6,,,,,,
NV-04820,39.6449067,-118.0011574,,,,88.75,,,,,,
NV-04822,39.6921059,-118.0019581,,,,424,,,,,,
NV-04822,39.6921059,-118.0019581,,,,182,,,,,,
NV-04822,39.6921059,-118.0019581,,,,342,,,,,,
NV-04822,39.6921059,-118.0019581,,,,206.91,,,,,,
NV-04823,39.6762063,-117.9897575,,,,912,,,,,,
NV-04823,39.6762063,-117.9897575,,,,252,,,,,,
NV-04823,39.6762063,-117.9897575,,,,88,,,,,,
NV-04823,39.6762063,-117.9897575,,,,401.28,,,,,,
NV-04824,39.6896062,-117.9706572,,,,68.64,,,,,,
NV-04824,39.6896062,-117.9706572,,,,65.12,,,,,,
NV-04824,39.6896062,-117.9706572,,,,47.52,,,,,,
NV-04826,40.0372041,-117.6134519,,,,,,,,,,
NV-04827,40.0344041,-117.6196521,,,,,,,,,,
NV-04828,40.1022027,-117.6677544,,,,,,,,,,
NV-04838,40.0689026,-117.743456,,,,,,,,,,
NV-04840,40.0061028,-117.8227574,,,,,,,,,,
NV-04841,39.9021046,-117.7846549,,,,,,,,,,
NV-04843,39.8806043,-117.8656569,,,,,,,,,,
NV-04848,39.977033,-117.8477677,,,,,,,,,,
NV-04851,39.9815906,-117.8623476,,,,,,,,,,
NV-04853,39.945893,-117.9023488,,,,240.44,,,,,,
NV-04853,39.945893,-117.9023488,,,,173.32,,,,,,
NV-04859,39.9873129,-117.8453278,,,,674.66,,,,,,
NV-04862,39.9370232,-117.8946185,,,,103.2,,,,,,
NV-04862,39.9370232,-117.8946185,,,,188,,,,,,
NV-04868,39.883904,-117.8914576,,,,,,,,,,
NV-04874,39.8376041,-117.9589589,,,,,,,,,,
NV-04878,39.9879229,-117.8441577,,,,1084.44,,,,,,
NV-04881,39.9848875,-117.8476914,,,,4144.56,,,,,,
NV-04891,,,,,,,,,,,,
NV-04897,39.9523432,-117.872228,,,,,,,,,,
NV-04900,39.9698131,-117.8529977,,,,,,,,,,
NV-04903,39.9554028,-117.9161593,,,,,,,,,,
NV-04910,39.9917029,-117.8396577,,,,,,,,,,
NV-04924,39.9051031,-117.9689601,,,,,,,,,,
NV-04925,39.8857037,-117.9311588,,,,,,,,,,
NV-04926,39.8866032,-117.9799602,,,,,,,,,,
NV-04928,40.0256027,-117.797157,,,,,,,,,,
NV-04929,40.0456027,-117.7711565,,,,,,,,,,
NV-04930,,,,,,,,,,,,
NV-04933,39.4109089,-118.1712589,,,,,,,,,,
NV-04940,39.4214077,-118.2949625,,,,,,,,,,
NV-04952,39.3999089,-118.1837591,,,,,,,,,,
NV-04958,39.4271092,-118.1042573,,,,,,,,,,
NV-04960,39.4036084,-118.2466609,,,,,,,,,,
