# Lon        | Lat          | Moho Depth   | Count   | Station    | Min Err      | Mean Err     | Variance     | Score 
-1.544524e+02  +5.756650e+01  +4.248092e+01  0012     TA-R18K-  +4.543921e+00  -8.411222e+00  +1.615293e+00  +1.100000e+00
-1.543915e+02  +6.190370e+01  +4.248092e+01  0045     TA-M19K-  +7.020159e-01  -7.272187e+00  +1.268600e+00  +2.100000e+00
-1.543201e+02  +6.019520e+01  +3.805344e+01  0045     TA-O19K-  +2.625216e-02  -2.371450e+00  +2.022337e+00  +2.100000e+00
-1.541842e+02  +5.655930e+01  +3.390771e+01  0038      AK-SII-  +8.033315e-02  +2.686331e+00  +1.532381e+00  +2.100000e+00
-1.541467e+02  +6.417670e+01  +3.713741e+01  0053     TA-J20K-  +2.658626e-01  -2.596850e+00  +1.455677e+00  +2.100000e+00
-1.540700e+02  +6.335690e+01  +3.448105e+01  0087     TA-K20K-  +5.737739e-02  +1.771094e+00  +1.185790e+00  +2.100000e+00
-1.539721e+02  +6.844140e+01  +5.087786e+01  0021     TA-E21K-  +1.291177e+00  -5.706812e+00  +4.758707e+00  +1.100000e+00
-1.538798e+02  +6.247870e+01  +3.445802e+01  0082     TA-L20K-  +1.388779e+00  +3.271313e+00  +2.057091e+00  +2.100000e+00
-1.536446e+02  +5.892870e+01  +2.874046e+01  0008     TA-Q19K-  +1.514371e-01  +5.051693e+00  +4.083220e+00  +1.100000e+00
-1.535058e+02  +6.651560e+01  +4.003817e+01  0038     TA-G21K-  +2.515258e-01  -3.212774e+00  +2.418290e+00  +2.100000e+00
-1.534830e+02  +6.722210e+01  +4.309160e+01  0045     TA-F21K-  +7.253545e-02  -1.823847e+00  +4.656697e+00  +1.100000e+00
-1.534447e+02  +5.936260e+01  +2.993575e+01  0009     AV-AUCH-  +4.992717e-02  +2.271893e+00  +3.447055e+00  +1.100000e+00
-1.534227e+02  +5.933950e+01  +2.070678e+01  0024     AV-AUJA-  +5.551890e+00  +1.244282e+01  +4.110603e+00  +1.000000e-01
